Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,208756,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE HYDROCHLORIDE,20190208,Central Nervous System Stimulant,2001,RHODES PHARMACEUTICALS L P,2017/12/01-,42858-011; 42858-225; 42858-410,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/01362bb1-7a95-4b79-b52f-69f68ac13915/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=01362bb1-7a95-4b79-b52f-69f68ac13915,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=01362bb1-7a95-4b79-b52f-69f68ac13915,01362bb1-7a95-4b79-b52f-69f68ac13915
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,21802,Focalin XR,DEXMETHYLPHENIDATE HYDROCHLORIDE,20190131,Central Nervous System Stimulant,2005,NOVARTIS PHARMACEUTICALS CORPORATION,2005/05/31-,0078-0430; 0078-0431; 0078-0432; 0078-0433; 0078-0434; 0078-0493; 0078-0608; 0078-0609,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1a1da905-42a0-4748-9c39-67eca45deccc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1a1da905-42a0-4748-9c39-67eca45deccc,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1a1da905-42a0-4748-9c39-67eca45deccc,1a1da905-42a0-4748-9c39-67eca45deccc
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,21278,Focalin,DEXMETHYLPHENIDATE HYDROCHLORIDE,20190131,Central Nervous System Stimulant,2001,NOVARTIS PHARMACEUTICALS CORPORATION,2001/11/30-,0078-0380; 0078-0381; 0078-0382,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7c552f11-e24a-4d9b-bb8d-be10c928eca8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7c552f11-e24a-4d9b-bb8d-be10c928eca8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7c552f11-e24a-4d9b-bb8d-be10c928eca8,7c552f11-e24a-4d9b-bb8d-be10c928eca8
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,078908;202731,Dexmethylphenidate Hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,20190125,Central Nervous System Stimulant,2001,TEVA PHARMACEUTICALS USA INC,2013/11/21-; 2014/05/21-; 2014/05/22-; 2014/11/10-; 2015/02/02-,0093-5045; 0093-5046; 0093-5550; 0093-5551; 0093-5552; 0093-5553; 0093-5554; 0093-5562,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/dd659d39-41f5-4612-8f17-bad602b4784d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dd659d39-41f5-4612-8f17-bad602b4784d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dd659d39-41f5-4612-8f17-bad602b4784d,dd659d39-41f5-4612-8f17-bad602b4784d
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA authorized generic,21802,Dexmethylphenidate Hydrochloride Extended-Release,DEXMETHYLPHENIDATE HYDROCHLORIDE,20190117,Central Nervous System Stimulant,2005,SANDOZ INC,2014/01/02-; 2014/01/28-; 2014/03/04-; 2014/11/12-; 2015/02/03-,0781-2682; 0781-2683; 0781-2684; 0781-2685; 0781-2686; 0781-2687; 0781-2688; 0781-2689,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/77342716-6dd7-488d-bfa4-9637feb4b5f0/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=77342716-6dd7-488d-bfa4-9637feb4b5f0,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=77342716-6dd7-488d-bfa4-9637feb4b5f0,77342716-6dd7-488d-bfa4-9637feb4b5f0
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,206931,Dexmethylphenidate Hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,20181219,Central Nervous System Stimulant,,KVK TECH INC,2015/12/04-,10702-106; 10702-107; 10702-108,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0c717ae4-ec27-47db-ac1b-e504dbb379be/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0c717ae4-ec27-47db-ac1b-e504dbb379be,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0c717ae4-ec27-47db-ac1b-e504dbb379be,0c717ae4-ec27-47db-ac1b-e504dbb379be
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA authorized generic,21278,Dexmethylphenidate Hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,20181129,Central Nervous System Stimulant,,SANDOZ INC,2015/04/27-,0781-5676; 0781-5689; 0781-5691,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/07efe5d5-9857-490a-9a31-9dd07ea9386e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=07efe5d5-9857-490a-9a31-9dd07ea9386e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=07efe5d5-9857-490a-9a31-9dd07ea9386e,07efe5d5-9857-490a-9a31-9dd07ea9386e
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,204534,Dexmethylphenidate Hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,20171017,Central Nervous System Stimulant,,LUPIN PHARMACEUTICALS INC,2015/12/04-,43386-860; 43386-861; 43386-862,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a61932ef-c2b6-4363-a21d-1f0358f317b6/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a61932ef-c2b6-4363-a21d-1f0358f317b6,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a61932ef-c2b6-4363-a21d-1f0358f317b6,a61932ef-c2b6-4363-a21d-1f0358f317b6
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,79108,Dexmethylphenidate hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,20170131,Central Nervous System Stimulant,2005,IMPAX GENERICS,2014/02/24-; 2014/11/11-; 2015/08/06-; 2015/12/21-,0115-1682; 0115-1683; 0115-1684; 0115-1685; 0115-1686,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5312f2c3-bd73-4d29-b8d1-e989282be750/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5312f2c3-bd73-4d29-b8d1-e989282be750,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5312f2c3-bd73-4d29-b8d1-e989282be750,5312f2c3-bd73-4d29-b8d1-e989282be750
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77107,Dexmethylphenidate Hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,20170101,Central Nervous System Stimulant,,TEVA PHARMACEUTICALS USA INC,completed:2007/06/08-2020/05/31; completed:2007/06/08-2020/06/30,0093-5275; 0093-5276; 0093-5277,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d334e2f1-7497-4131-a5c0-7ac30d4741cb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d334e2f1-7497-4131-a5c0-7ac30d4741cb,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d334e2f1-7497-4131-a5c0-7ac30d4741cb,d334e2f1-7497-4131-a5c0-7ac30d4741cb
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA authorized generic,21802,Dexmethylphenidate Hydrochloride Extended-Release,DEXMETHYLPHENIDATE HYDROCHLORIDE,20151223,Central Nervous System Stimulant,2005,AVERA MCKENNAN HOSPITAL,2015/12/01-,69189-2685,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c72a641c-6846-4df9-8ff0-fa8036d6ac27/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c72a641c-6846-4df9-8ff0-fa8036d6ac27,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c72a641c-6846-4df9-8ff0-fa8036d6ac27,c72a641c-6846-4df9-8ff0-fa8036d6ac27
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,21802,FOCALIN XR,DEXMETHYLPHENIDATE HYDROCHLORIDE,20110613,Central Nervous System Stimulant,2005,STAT RX USA LLC,2005/05/31-,16590-649,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/bdb43b40-d34d-47f0-b522-a0ad2d2b1185/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=bdb43b40-d34d-47f0-b522-a0ad2d2b1185,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=bdb43b40-d34d-47f0-b522-a0ad2d2b1185,bdb43b40-d34d-47f0-b522-a0ad2d2b1185
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,21802,FocalinXR,DEXMETHYLPHENIDATE HYDROCHLORIDE,20101111,Central Nervous System Stimulant,2005,PHYSICIANS TOTAL CARE INC,2006/10/11-,54868-5681; 54868-5682; 54868-5683; 54868-5684,1678OK0E08,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,M32RH9MFGP,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/00f1d83e-93cc-4bbe-9c3b-c488062271ab/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=00f1d83e-93cc-4bbe-9c3b-c488062271ab,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=00f1d83e-93cc-4bbe-9c3b-c488062271ab,00f1d83e-93cc-4bbe-9c3b-c488062271ab
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,ORAL,ANDA,203644,Dextroamphetamine,DEXTROAMPHETAMINE,20190522,Central Nervous System Stimulant,,TRIS PHARMA INC,2013/05/31-,27808-085,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7658071e-ee2c-4d23-94ce-1906959ec036/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7658071e-ee2c-4d23-94ce-1906959ec036,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7658071e-ee2c-4d23-94ce-1906959ec036,7658071e-ee2c-4d23-94ce-1906959ec036
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40440,Dextroamphetamine Saccharate and Amphetamine Aspartate and Dextroamphetamine Sulfate and Amphetamine Sulfate,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,20180124,Central Nervous System Stimulant,,SPECGX LLC,2010/02/18-,0406-8884; 0406-8885; 0406-8891; 0406-8892; 0406-8893; 0406-8894,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/72ddd1c9-ddbd-4c95-acd9-003189a353a3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=72ddd1c9-ddbd-4c95-acd9-003189a353a3,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=72ddd1c9-ddbd-4c95-acd9-003189a353a3,72ddd1c9-ddbd-4c95-acd9-003189a353a3
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40439,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",20181012,Central Nervous System Stimulant,,EON LABS INC,2016/04/20-,0185-0831; 0185-0842; 0185-0853; 0185-0864,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/288dafc4-fe6e-4891-832f-511022c87445/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=288dafc4-fe6e-4891-832f-511022c87445,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=288dafc4-fe6e-4891-832f-511022c87445,288dafc4-fe6e-4891-832f-511022c87445
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40440,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",20130709,Central Nervous System Stimulant,,PHYSICIANS TOTAL CARE INC,2002/06/04-; 2003/01/17-; 2003/07/25-; 2004/07/07-; 2005/08/11-,54868-4631; 54868-4728; 54868-4863; 54868-5103; 54868-5387,6DPV8NK46S; G83415V073; H527KAP6L5; JJ768O327N,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d63a086a-32e2-49e2-949e-64e4c922775a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d63a086a-32e2-49e2-949e-64e4c922775a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d63a086a-32e2-49e2-949e-64e4c922775a,d63a086a-32e2-49e2-949e-64e4c922775a
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,77302,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, amphetamine sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE, AMPHETAMINE SULFATE",20170831,Central Nervous System Stimulant,2001,ACTAVIS PHARMA INC,2012/06/22-,0228-3059; 0228-3060; 0228-3061; 0228-3062; 0228-3063; 0228-3064,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c5c2d060-452c-4f76-ad93-2e41fd8f06c2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c5c2d060-452c-4f76-ad93-2e41fd8f06c2,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c5c2d060-452c-4f76-ad93-2e41fd8f06c2,c5c2d060-452c-4f76-ad93-2e41fd8f06c2
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76852,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE, AND AMPHETAMINE SULFATE",20190613,Central Nervous System Stimulant,2001,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,2016/02/16-,0115-1486; 0115-1487; 0115-1488; 0115-1489; 0115-1490; 0115-1491,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/89c4b21a-1a65-41ef-8718-1619c2ba8591/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=89c4b21a-1a65-41ef-8718-1619c2ba8591,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=89c4b21a-1a65-41ef-8718-1619c2ba8591,89c4b21a-1a65-41ef-8718-1619c2ba8591
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA authorized generic,21303,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE, AND AMPHETAMINE SULFATE",20190416,Central Nervous System Stimulant,2001,SANDOZ INC,2009/04/02-,0781-2329; 0781-2335; 0781-2343; 0781-2352; 0781-2368; 0781-2371,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6f637e8d-7c2e-47fa-a43c-3250c51aed77/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6f637e8d-7c2e-47fa-a43c-3250c51aed77,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6f637e8d-7c2e-47fa-a43c-3250c51aed77,6f637e8d-7c2e-47fa-a43c-3250c51aed77
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA authorized generic,21303,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE, AND AMPHETAMINE SULFATE",20181127,Central Nervous System Stimulant,2001,PRASCO LABORATORIES,2009/04/02-,66993-594; 66993-595; 66993-596; 66993-597; 66993-598; 66993-599,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f85af6ee-9029-42de-adea-6dbb8642952c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f85af6ee-9029-42de-adea-6dbb8642952c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f85af6ee-9029-42de-adea-6dbb8642952c,f85af6ee-9029-42de-adea-6dbb8642952c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40422,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SUFLATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SUFLATE",20100625,Central Nervous System Stimulant,,STAT RX USA LLC,2009/12/18-,16590-901,6DPV8NK46S; G83415V073; H527KAP6L5; JJ768O327N,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f55aba1f-9404-4a49-8e3b-7a66ce538c60/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f55aba1f-9404-4a49-8e3b-7a66ce538c60,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f55aba1f-9404-4a49-8e3b-7a66ce538c60,f55aba1f-9404-4a49-8e3b-7a66ce538c60
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40422,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",20190817,Central Nervous System Stimulant,,BRYANT RANCH PREPACK,2002/02/11-,63629-3730; 63629-7487,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6670decb-e6bb-462e-9cec-cd70fde20b58/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6670decb-e6bb-462e-9cec-cd70fde20b58,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6670decb-e6bb-462e-9cec-cd70fde20b58,6670decb-e6bb-462e-9cec-cd70fde20b58
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,202424,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",20190204,Central Nervous System Stimulant,,AUROLIFE PHARMA LLC,2013/11/27-,13107-068; 13107-069; 13107-070; 13107-071; 13107-072; 13107-073; 13107-074,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a582d57f-d191-4ca5-b105-585b2d8a0e3e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a582d57f-d191-4ca5-b105-585b2d8a0e3e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a582d57f-d191-4ca5-b105-585b2d8a0e3e,a582d57f-d191-4ca5-b105-585b2d8a0e3e
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,202424,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",20190107,Central Nervous System Stimulant,,ACETRIS HEALTH LLC,2017/11/27-,52343-160; 52343-161; 52343-162; 52343-163; 52343-164; 52343-165; 52343-166,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7a72e13a-33b1-48f2-b036-7e08cb7b65ff/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7a72e13a-33b1-48f2-b036-7e08cb7b65ff,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7a72e13a-33b1-48f2-b036-7e08cb7b65ff,7a72e13a-33b1-48f2-b036-7e08cb7b65ff
