dosageforms,routesofadministration,marketingcategory,applicationnumbers,tradename,genericpropernames,mostrecentspldateyyyymmdd,establishedpharmacologicclasses,initialusapproval,company,marketingdatesyyyymmdd,marketyear,ndcs,activeingredientuniis,activeingredients,activemoietynames,activemoietyuniis,fdalabellink,dailymedlink,setid,excipients,type
TABLET,ORAL,ANDA,40656,Hydrocodone Bitartrate And Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180723,Opioid Agonist,,PREFERRED PHARMACEUTICALS INC,2011/09/01-,2011,68788-9125,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3287d19f-b69e-4035-9704-7c507ad6fa97/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3287d19f-b69e-4035-9704-7c507ad6fa97,3287d19f-b69e-4035-9704-7c507ad6fa97,"citric acid anhydrous, disodium edetate, fd&c green no",Opioids
TABLET,ORAL,ANDA,40655,Hydrocodone Bitartrate And Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180620,Opioid Agonist,,PREFERRED PHARMACEUTICALS INC,2009/09/09-,2009,68788-9137,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7510a9ec-6ef0-4610-8dce-8286a043d09c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7510a9ec-6ef0-4610-8dce-8286a043d09c,7510a9ec-6ef0-4610-8dce-8286a043d09c," fd&c blue #1, fd&c red #3, fd&c red #40, fd&c yellow #5, gelatin, microcrystalline cellulose, stearic acid, sodium lauryl sulfate, talc,, titanium dioxide",Opioids
TABLET,ORAL,ANDA,40736,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180620,Opioid Agonist,,PREFERRED PHARMACEUTICALS INC,2014/11/03-,2014,68788-9250,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1bf4d591-b3c6-42c6-b038-ef1f52cfdf68/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1bf4d591-b3c6-42c6-b038-ef1f52cfdf68,1bf4d591-b3c6-42c6-b038-ef1f52cfdf68,"colloidal silicon dioxide, corn starch, croscarmellose sodium, d&c yellow no",Opioids
TABLET,ORAL,ANDA,040355;040655;040656,Hydrocodone Bitartrate And Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180523,Opioid Agonist,,AIDAREX PHARMACEUTICALS LLC,2000/05/31-; 2006/01/19-,2000,33261-053; 33261-055; 33261-058,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3a1e0443-c06c-4945-8a9d-d6f764ca68a5/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3a1e0443-c06c-4945-8a9d-d6f764ca68a5,3a1e0443-c06c-4945-8a9d-d6f764ca68a5,,Opioids
TABLET,ORAL,ANDA,40746,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180511,Opioid Agonist,,BRYANT RANCH PREPACK,2016/06/30-,2016,71335-0466,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/725528ab-d057-4626-bd28-22f48ac88d15/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=725528ab-d057-4626-bd28-22f48ac88d15,725528ab-d057-4626-bd28-22f48ac88d15,"colloidal silicon dioxide, corn starch, croscarmellose sodium, fd&c red #3, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid,, sucrose",Opioids
TABLET,ORAL,ANDA,040355;040655;040656,Hydrocodone Bitartrate And Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180418,Opioid Agonist,,A S MEDICATION SOLUTIONS,2000/05/31-; 2006/01/19-,2000,50090-0729; 50090-1517; 50090-2817,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4789b848-b422-4576-a34d-669ac337e00b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4789b848-b422-4576-a34d-669ac337e00b,4789b848-b422-4576-a34d-669ac337e00b,"benzalkonium chloride; citric acid; purified water; sodium chloride;, sodium phosphate, dibasic",Opioids
TABLET,ORAL,ANDA,40148,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180125,Opioid Agonist,,MAJOR PHARMACEUTICALS,2016/05/26-,2016,0904-6567,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/80d4f8e0-f41b-4b5f-b7f2-bd1d53f2e4ac/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=80d4f8e0-f41b-4b5f-b7f2-bd1d53f2e4ac,80d4f8e0-f41b-4b5f-b7f2-bd1d53f2e4ac,,Opioids
TABLET,ORAL,ANDA,40148,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180125,Opioid Agonist,,MAJOR PHARMACEUTICALS,2013/03/07-; 2013/03/14-,2013,0904-6420; 0904-6421,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/eb28c00f-11ab-442d-9bf3-1e961c336c44/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=eb28c00f-11ab-442d-9bf3-1e961c336c44,eb28c00f-11ab-442d-9bf3-1e961c336c44,"hypromellose, lactose monohydrate, magnesium stearate,, sodium starch glycolate",Opioids
TABLET,ORAL,ANDA,40736,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180124,Opioid Agonist,,AVKARE INC,2016/09/06-,2016,42291-332,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/008b0ef7-3025-02e9-6c27-93a223539a48/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=008b0ef7-3025-02e9-6c27-93a223539a48,008b0ef7-3025-02e9-6c27-93a223539a48,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized corn starch,, stearic acid",Opioids
TABLET,ORAL,ANDA,202214,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20180101,Opioid Agonist,,REDPHARM DRUG INC,2018/01/01-,2018,67296-1579,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6a0f06ef-a6cb-97ac-e053-2991aa0a4529/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6a0f06ef-a6cb-97ac-e053-2991aa0a4529,6a0f06ef-a6cb-97ac-e053-2991aa0a4529,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Opioids
TABLET,ORAL,ANDA,90118,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20171212,Opioid Agonist,,A S MEDICATION SOLUTIONS,2009/03/30-; 2009/03/30-2017/03/31,2009,50090-1519; 50090-1680,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8825d5cb-3d6f-4b61-bc2d-e8027b7a22f1/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8825d5cb-3d6f-4b61-bc2d-e8027b7a22f1,8825d5cb-3d6f-4b61-bc2d-e8027b7a22f1,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, sodium lauryl sulfate,, stearic acid",Opioids
TABLET,ORAL,ANDA,40148,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20171107,Opioid Agonist,,UNIT DOSE SERVICES,2013/03/07-; 2013/03/14-; 2014/11/18-,2013,50436-2171; 50436-2605; 50436-2612,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e2281546-9581-4277-9539-93c26fce2638/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e2281546-9581-4277-9539-93c26fce2638,e2281546-9581-4277-9539-93c26fce2638,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, fd&c yellow #6, microcrystalline cellulose, povidone, pregelatinized corn starch, stearic acid,, sucrose",Opioids
TABLET,ORAL,ANDA,202991,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20171107,Opioid Agonist,,REDPHARM DRUG INC,2016/04/12-,2016,67296-1333,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/50237946-2b50-6e6c-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=50237946-2b50-6e6c-e054-00144ff8d46c,50237946-2b50-6e6c-e054-00144ff8d46c,alcohol (less than 0,Opioids
TABLET,ORAL,ANDA,40746,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20171023,Opioid Agonist,,REDPHARM DRUG INC,2016/06/30-,2016,67296-1377,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/504b4763-a992-2760-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=504b4763-a992-2760-e054-00144ff8d46c,504b4763-a992-2760-e054-00144ff8d46c,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, sodium lauryl sulfate,, stearic acid",Opioids
TABLET,ORAL,ANDA,40736,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20171023,Opioid Agonist,,REDPHARM DRUG INC,2010/01/18-,2010,67296-0299,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/41998448-c34b-3bcb-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=41998448-c34b-3bcb-e054-00144ff88e88,41998448-c34b-3bcb-e054-00144ff88e88,"crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, silicon dioxide,, stearic acid",Opioids
TABLET,ORAL,ANDA,201013,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20171011,Opioid Agonist,,H J HARKINS COMPANY INC,2016/12/30-,2016,52959-737,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5b4e2c4e-4e53-7794-e053-2a91aa0ab4e6/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5b4e2c4e-4e53-7794-e053-2a91aa0ab4e6,5b4e2c4e-4e53-7794-e053-2a91aa0ab4e6,"microcrystalline cellulose, croscarmellose sodium, magnesium stearate",Opioids
SOLUTION,ORAL,ANDA,40838,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20170926,Opioid Agonist,,PREFERRED PHARMACEUTICALS INC,2016/03/14-,2016,68788-6352,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0bf44dc5-fed8-47a2-8606-4966e935775d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0bf44dc5-fed8-47a2-8606-4966e935775d,0bf44dc5-fed8-47a2-8606-4966e935775d,,Opioids
TABLET,ORAL,ANDA,90118,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20170731,Opioid Agonist,,MAYNE PHARMA INC,2014/04/01-2020/05/31; completed:2014/04/01-2020/06/30,2014,51862-227; 51862-228; 51862-229,362O9ITL9D; NO70W886KK,Acetaminophen; Hydrocodone Bitartrate,Acetaminophen; Hydrocodone,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/631a51da-da4d-4cf5-a4f2-c755ede17670/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=631a51da-da4d-4cf5-a4f2-c755ede17670,631a51da-da4d-4cf5-a4f2-c755ede17670,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, sodium lauryl sulfate,, stearic acid",Opioids
TABLET,ORAL,ANDA,201013,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20170407,Opioid Agonist,,AIDAREX PHARMACEUTICALS LLC,2016/11/30-,2016,53217-265; 53217-266; 53217-267,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d8d44758-d9a9-45dc-854d-8c30a52fa955/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d8d44758-d9a9-45dc-854d-8c30a52fa955,d8d44758-d9a9-45dc-854d-8c30a52fa955,"croscarmellose sodium, lactose monohydrate, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, sodium lauryl sulfate, stearic acid, sugar spheres which are composed of starch derived from corn, fd&c red #40, fd&c yellow #6, sucrose",Opioids
TABLET,ORAL,ANDA,40148,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20170301,Opioid Agonist,,AIDAREX PHARMACEUTICALS LLC,2014/10/06-,2014,53217-192,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8f7a1e1c-88b1-4353-a2f1-56880eae7eeb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8f7a1e1c-88b1-4353-a2f1-56880eae7eeb,8f7a1e1c-88b1-4353-a2f1-56880eae7eeb,"croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch,, stearic acid",Opioids
TABLET,ORAL,ANDA,40736,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20161206,Opioid Agonist,,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,2010/01/18-,2010,55700-220,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/aa68b453-fd35-4322-a293-b7a55a847d15/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aa68b453-fd35-4322-a293-b7a55a847d15,aa68b453-fd35-4322-a293-b7a55a847d15,"crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Opioids
TABLET,ORAL,ANDA,40355,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20161024,Opioid Agonist,,DIRECT RX,2014/01/01-,2014,61919-156,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2dc8b182-88ae-4776-a17d-b61bb620768c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2dc8b182-88ae-4776-a17d-b61bb620768c,2dc8b182-88ae-4776-a17d-b61bb620768c,,Opioids
SOLUTION,ORAL,ANDA,40834,Zamicet,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160720,Opioid Agonist,,PHARMACEUTICAL ASSOCIATES INC,2008/08/18-,2008,0121-1542; 0121-2313,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c84877aa-5b61-4603-9494-fcf95d22a1f1/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c84877aa-5b61-4603-9494-fcf95d22a1f1,c84877aa-5b61-4603-9494-fcf95d22a1f1,,Opioids
TABLET,ORAL,ANDA,40655,hydrocodone bitartrate and acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160705,Opioid Agonist,,NORTHWIND PHARMACEUTICALS,2015/05/11-,2015,51655-899,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c9e88716-d0f7-46b1-8d66-5053c045e0fd/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c9e88716-d0f7-46b1-8d66-5053c045e0fd,c9e88716-d0f7-46b1-8d66-5053c045e0fd,"butyl alcohol, dehydrated alcohol, gelatin, iron oxide black jpe, isopropyl alcohol, microcrystalline cellulose, propylene glycol, purified water, sda 3a alcohol (27 cfr), shellac, shellac glaze-45% in sd-45 alcohol, strong ammonia solution, titanium dioxide, d&c yellow #10, d&c yellow #10 aluminum lake, fd&c blue #1/brilliant blue fcf aluminum lake, fd&c blue #2 aluminum lake, fd&c blue #2/indigo carmine aluminum lake,, fd&c red #40/allura red ac aluminum lake",Opioids
SYRUP,ORAL,ANDA,40881,Lortab,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160629,Opioid Agonist,,ATLANTIC BIOLOGICALS CORPS,2015/03/17-,2015,17856-0450,362O9ITL9D; NO70W886KK,Acetaminophen; Hydrocodone Bitartrate,Acetaminophen; Hydrocodone,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/34fddb2d-ccc5-4189-ac2a-146b46c447f6/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=34fddb2d-ccc5-4189-ac2a-146b46c447f6,34fddb2d-ccc5-4189-ac2a-146b46c447f6,"citric acid anhydrous, disodium edetate, fd&c green no",Opioids
TABLET,ORAL,ANDA,90118,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160610,Opioid Agonist,,APOTHECA INC,2009/03/30-,2009,12634-260,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fe743045-6501-4d99-ae8d-7b0f3e27c656/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fe743045-6501-4d99-ae8d-7b0f3e27c656,fe743045-6501-4d99-ae8d-7b0f3e27c656,,Opioids
TABLET,ORAL,ANDA,40099,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160527,Opioid Agonist,,APOTHECA INC,1997/06/25-,1997,12634-264,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2ec4d6a5-d2a3-4c91-9d61-afeb3abd17af/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2ec4d6a5-d2a3-4c91-9d61-afeb3abd17af,2ec4d6a5-d2a3-4c91-9d61-afeb3abd17af,,Opioids
TABLET,ORAL,ANDA,202991,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160412,Opioid Agonist,,REDPHARM DRUG INC,2016/04/12-,2016,67296-1334,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5023c851-d257-48f1-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5023c851-d257-48f1-e054-00144ff88e88,5023c851-d257-48f1-e054-00144ff88e88,"anhydrous citric acid, anhydrous lactose, colloidal silicon dioxide, corn starch, crospovidone, lactose monohydrate, magnesium stearate, mannitol, microcrystalline cellulose, sodium citratethis medication guide has been approved by the u",Opioids
TABLET,ORAL,ANDA,202991,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160412,Opioid Agonist,,REDPHARM DRUG INC,2016/04/12-,2016,67296-1335,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/503457f0-7e83-56c8-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=503457f0-7e83-56c8-e054-00144ff88e88,503457f0-7e83-56c8-e054-00144ff88e88,,Opioids
TABLET,ORAL,ANDA,40432,Hydrocodone Bitartrate and Acetaminophen,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160211,Opioid Agonist,,SOLCO HEALTHCARE US LLC,2016/01/25-,2016,43547-373,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3e4917e6-6995-4983-8c6f-823b3c1b52ad/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3e4917e6-6995-4983-8c6f-823b3c1b52ad,3e4917e6-6995-4983-8c6f-823b3c1b52ad,,Opioids
TABLET,ORAL,ANDA,40656,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160127,Opioid Agonist,,EPM PACKAGING INC,2016/01/27-,2016,61502-914,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2a584f52-f946-5d95-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a584f52-f946-5d95-e054-00144ff88e88,2a584f52-f946-5d95-e054-00144ff88e88,"colloidal silicon dioxide, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Opioids
TABLET,ORAL,ANDA,40736,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160127,Opioid Agonist,,EPM PACKAGING INC,2016/01/27-,2016,61502-913,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2a57d570-1c0b-0426-e054-00144ff8d46c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a57d570-1c0b-0426-e054-00144ff8d46c,2a57d570-1c0b-0426-e054-00144ff8d46c,"anhydrous lactose, colloidal silicon dioxide, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, sodium starch glycolate, titanium dioxide",Opioids
TABLET,ORAL,ANDA,40746,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,20160127,Opioid Agonist,,EPM PACKAGING INC,2016/01/27-,2016,61502-908,362O9ITL9D; NO70W886KK,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE,362O9ITL9D; 6YKS4Y3WQ7,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2a53c7e4-c518-4714-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a53c7e4-c518-4714-e054-00144ff88e88,2a53c7e4-c518-4714-e054-00144ff88e88,"mannitol, citric acid, sodium citrate, microcrystalline cellulose, croscarmellose sodium, sucralose, silicon dioxide, sodium stearyl fumarate,, menthol flavor",Opioids
